0,3.811,1.2825,0.91975727,0.24991018,0.9938
1,3.753,1.3293,0.86387724,0.2310776,0.9939
2,3.808,1.3551,1.20756203,0.33800015,0.9934
3,3.793,1.2954,0.79975766,0.36205045,0.9938
4,3.706,1.4664,1.04653195,0.45992449,0.9934
5,3.718,1.4322,1.0325398,0.35564606,0.9937
6,3.787,1.2318,0.86979897,0.17610237,0.9942
7,3.793,1.2153,0.98118255,0.28539606,0.9938
8,3.744,1.3296,0.96483193,0.38231795,0.9936
9,3.853,0.996,0.86905901,0.36871121,0.9938
10,3.766,1.2894,0.85455783,0.38989046,0.994
11,3.808,1.1628,0.92794318,0.14587945,0.9941
12,3.792,1.1748,0.90746122,0.26029482,0.994
13,3.902,0.8073,0.88175062,0.09170435,0.9944
14,3.838,1.0485,0.97274299,0.31319672,0.9939
15,3.796,1.2027,1.06033619,0.38604533,0.9938
16,3.733,1.3947,0.90519854,0.37055058,0.9938
17,3.723,1.3932,0.86707039,0.19713666,0.9939
18,3.793,1.2117,0.86225157,0.28497391,0.9941
19,3.718,1.4337,0.99189279,0.4620667,0.9937
20,3.811,1.1547,1.10595336,0.36629434,0.9937
