0,3.768,1.461,0.71566978,0.23909646,0.994
1,3.759,1.38,0.90305007,0.18599038,0.9939
2,3.738,1.3329,0.50946352,0.16765109,0.9941
3,3.837,1.2426,1.12035213,0.40368792,0.9934
4,3.75,1.5042,1.45927623,0.72235003,0.9928
5,3.819,1.4139,1.39271667,0.47165541,0.993
6,3.783,1.3479,1.0222597,0.34068316,0.994
7,3.762,1.482,0.95479048,0.40129795,0.9932
8,3.792,1.2963,1.1242013,0.3737472,0.9937
9,3.786,1.4718,0.6478023,0.21293246,0.9943
10,3.831,1.2639,0.59901423,0.18508339,0.9942
11,3.771,1.2792,1.16681837,0.35746254,0.9936
12,3.687,1.4556,0.58426607,0.20007539,0.9936
13,3.744,1.4529,1.09706554,0.34662067,0.9931
14,3.81,1.263,1.19499616,0.24267893,0.9933
15,3.789,1.3437,1.47968849,0.54553562,0.9931
16,3.864,1.1646,1.13671377,0.28172211,0.9941
17,3.816,1.2084,0.72195962,0.23879094,0.9939
18,3.801,1.3959,1.5395952,0.52919223,0.9932
19,3.792,1.3791,0.63085347,0.21028656,0.994

